Predio;I.D. Faena;N° Orden;Cultivo;Variedad;Fecha;E. Fenologico;Codigo Producto;Nombre Producto;Ing Activo;N° Autorización SAG;Tratamiento;Cantidad;U. Med.;Moja. Lts x Ha;Tipo Dosis;Dosis;Ha. Aplica;T.Cantidad Ha. Aplica;R.Aplica Calculado;Real Aplicado;Cobertura;N° Aplica Periodo.;Nº aplica etiqueta;Clasifica;Cod Cuartel;Cuartel / Potrero;Total Ha.;Fecha Inicio Aplica;Hr. Inicio;Fecha Term. Aplica;Hr. Término;Hr. Reingre;Carencia;Dias Carencias PPPL;Plazo Seguridad;Concentración;Adjunto Productos;Estado;Faena;Labor;Clima;Viento;Temp.;Responsable (Aplicaciones);Dosificador (Aplicaciones);Verificador Técnico (Aplicaciones);Aplicador;Aplicador 2;Observaciones;Usuario Login;Total Producto;Maquinarias;Total Maqui;Maq Cod/GPS;Tot.Maq c/GPS;Tot Orden Aplica;Cantidad Periodo;tipo;has totales;n;p;k;usd
Camino Truncado, Puente Alto y La Chimbera;55.721;;Uva;Fiesta;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;493,9;Litros;0;Hectareas;112,25;4,4;493,9;0;0;;1;0;La Chimbera;20;20;4,4;25/2/2025;23:00:00;26/2/2025;18:00:00;0;0;0;27/2/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 5,80;;0;;0;1;493,9;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.722;;Uva;Fiesta;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;291,85;Litros;0;Hectareas;112,25;2,6;291,85;0;0;;1;0;La Chimbera;22;22;2,6;25/2/2025;23:00:00;26/2/2025;18:00:00;0;0;0;27/2/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 3,40;;0;;0;1;291,85;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.723;;Uva;Fiesta;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;314,3;Litros;0;Hectareas;112,25;2,8;314,3;0;0;;1;0;La Chimbera;23;23;2,8;25/2/2025;23:00:00;26/2/2025;18:00:00;0;0;0;27/2/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 3,70;;0;;0;1;314,3;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.724;;Uva;Flame;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;373,367;Litros;0;Hectareas;100,91;3,7;373,36;0;0;;1;0;La Chimbera;15;15;3,7;26/2/2025;23:00:00;27/2/2025;18:00:00;0;0;0;28/2/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 4,40;;0;;0;1;373,367;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.725;;Uva;Flame;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;222,002;Litros;0;Hectareas;100,91;2,2;222;0;0;;1;0;La Chimbera;17;17;2,2;26/2/2025;23:00:00;27/2/2025;18:00:00;0;0;0;28/2/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 2,60;;0;;0;1;222,002;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.726;;Uva;Flame;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;222,002;Litros;0;Hectareas;100,91;2,2;222;0;0;;1;0;La Chimbera;19;19;2,2;26/2/2025;23:00:00;27/2/2025;18:00:00;0;0;0;28/2/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 2,60;;0;;0;1;222,002;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.727;;Uva;Arizul;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;282,548;Litros;0;Hectareas;100,91;2,8;282,54;0;0;;1;0;La Chimbera;25;25;2,8;26/2/2025;23:00:00;27/2/2025;18:00:00;0;0;0;28/2/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 3,30;;0;;0;1;282,548;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.728;;Uva;Flame;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;509,476;Litros;0;Hectareas;115,79;4,4;509,47;0;0;;1;0;La Chimbera;16;16;4,4;27/2/2025;23:00:00;28/2/2025;18:00:00;0;0;0;1/3/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 6,00;;0;;0;1;509,476;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.729;;Uva;Flame;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;254,738;Litros;0;Hectareas;115,79;2,2;254,73;0;0;;1;0;La Chimbera;21;21;2,2;27/2/2025;23:00:00;28/2/2025;18:00:00;0;0;0;1/3/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 3,00;;0;;0;1;254,738;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;55.730;;Uva;Arizul;5/3/2025;Cosecha/Postcosecha;p-84;NUTRI 1406 M;;;;335,791;Litros;0;Hectareas;115,79;2,9;335,79;0;0;;1;0;La Chimbera;26;26;2,9;27/2/2025;23:00:00;28/2/2025;18:00:00;0;0;0;1/3/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;Gabriel Torrez;;;;;marcelow;$ 3,90;;0;;0;1;335,791;Real;;;;;
