Predio;I.D. Faena;N° Orden;Cultivo;Variedad;Fecha;E. Fenologico;Codigo Producto;Nombre Producto;Ing Activo;N° Autorización SAG;Tratamiento;Cantidad;U. Med.;Moja. Lts x Ha;Tipo Dosis;Dosis;Ha. Aplica;T.Cantidad Ha. Aplica;R.Aplica Calculado;Real Aplicado;Cobertura;N° Aplica Periodo.;Nº aplica etiqueta;Clasifica;Cod Cuartel;Cuartel / Potrero;Total Ha.;Fecha Inicio Aplica;Hr. Inicio;Fecha Term. Aplica;Hr. Término;Hr. Reingre;Carencia;Dias Carencias PPPL;Plazo Seguridad;Concentración;Adjunto Productos;Estado;Faena;Labor;Clima;Viento;Temp.;Responsable (Aplicaciones);Dosificador (Aplicaciones);Verificador Técnico (Aplicaciones);Aplicador;Aplicador 2;Observaciones;Usuario Login;Total Producto;Maquinarias;Total Maqui;Maq Cod/GPS;Tot.Maq c/GPS;Tot Orden Aplica;Cantidad Periodo;tipo;has totales;unidades n;unidades p;unidades k;monto en usd
El espejo;;;;;1/9/2025;;;NUTRI 1075 M;;;;70.092,00;Litros;;;;;;;;;;;EEI;EEI 1;;;;;;;;;;;;;;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;33,91;100;61;239;USD 25.934,00
El espejo;;;;;1/9/2025;;;NUTRI 1683 M;;;;30.202,00;Litros;;;;;;;;;;;EEI;EEI 2;;;;;;;;;;;;;;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;21,12;80;41;180;USD 11.779,00
El espejo;;;;FLAME;1/9/2025;;;NUTRI 1075 M;;;;45.805,00;Litros;;;;;;;;;;;EEII;EEII 1;;;;;;;;;;;;;;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;22,16;100;61;239;USD 16.948,00
El espejo;;;;SELMA;1/9/2025;;;NUTRI 1683 M;;;;63.378,00;Litros;;;;;;;;;;;EEII;EEII 2;;;;;;;;;;;;;;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;44,32;80;41;180;USD 24.717,00
El espejo;;;;FIESTA;1/9/2025;;;NUTRI 1683 M;;;;39.511,00;Litros;;;;;;;;;;;EEII;EEII 2;;;;;;;;;;;;;;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;27,63;80;41;180;USD 15.409,00
El espejo;;;;FIESTA;1/9/2025;;;NUTRI 1684 M;;;;39.483,00;Litros;;;;;;;;;;;EEIII;EEIII 3 A;;;;;;;;;;;;;;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;34,91;70;30;140;USD 15.389,00
El espejo;;;;;1/9/2025;;;NUTRI 1684 M;;;;37.312,00;Litros;;;;;;;;;;;EEIII;EEIII 3 B;;;;;;;;;;;;;;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;32,99;70;30;140;USD 14.552,00
El espejo;;;;;1/9/2025;;;NUTRI 1684 M;;;;35.231,00;Litros;;;;;;;;;;;EEIII;EEIII 4;;;;;;;;;;;;;;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;31,15;70;30;140;USD 13.740,00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El espejo;75.933;75933;Uva;Flame;3/1/2026;Envero/Cosecha;p-152;NUTRI 1683 M;;;;90;Litros;0;Hectareas;0;3;0;0;0;Total;32;0;EEI;EEI 2;3;6,31;3/1/2026;;3/1/2026;;0;0;0;4/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 107,10;;0;;0;63;7.901,00;Real;;;;;
El espejo;75.934;75934;Uva;Flame;3/1/2026;Envero/Cosecha;p-152;NUTRI 1683 M;;;;136;Litros;0;Hectareas;0;4,58;0;0;0;Total;32;0;EEI;EEI 2;5;4,58;3/1/2026;;3/1/2026;;0;0;0;4/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 161,80;;0;;0;33;5.967,00;Real;;;;;
El espejo;75.935;75935;Uva;Flame;3/1/2026;Envero/Cosecha;p-152;NUTRI 1683 M;;;;60;Litros;0;Hectareas;0;2,03;0;0;0;Total;33;0;EEI;EEI 2;6;2,03;3/1/2026;;3/1/2026;;0;0;0;4/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 71,40;;0;;0;33;2.639,00;Real;;;;;
El espejo;75.936;75936;Uva;Flame;3/1/2026;Envero/Cosecha;p-152;NUTRI 1683 M;;;;40;Litros;0;Hectareas;0;1,35;0;0;0;Total;17;0;EEI;EEI 2;11;4,07;3/1/2026;;3/1/2026;;0;0;0;4/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 47,60;;0;;0;63;2.788,00;Real;;;;;
El espejo;75.937;75937;Uva;Flame;3/1/2026;Envero/Cosecha;p-152;NUTRI 1683 M;;;;34;Litros;0;Hectareas;0;1,14;0;0;0;Total;33;0;EEI;EEI 2;12;2,29;3/1/2026;;3/1/2026;;0;0;0;4/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 40,40;;0;;0;63;2.883,00;Real;;;;;
El espejo;75.907;75907;Uva;Flame;2/1/2026;Envero/Cosecha;p-156;NUTRI 1075 M;;;;68;Litros;0;Hectareas;0;1,57;0;0;0;Total;34;0;EEI;EEI 1;1;3,13;2/1/2026;;2/1/2026;;0;0;0;3/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 80,90;;0;;0;67;5.961,00;Real;;;;;
El espejo;75.908;75908;Uva;Flame;2/1/2026;Envero/Cosecha;p-156;NUTRI 1075 M;;;;61;Litros;0;Hectareas;0;1,42;0;0;0;Total;34;0;EEI;EEI 1;2;2,85;2/1/2026;;2/1/2026;;0;0;0;3/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 72,50;;0;;0;67;5.427,00;Real;;;;;
El espejo;75.909;75909;Uva;Flame;2/1/2026;Envero/Cosecha;p-156;NUTRI 1075 M;;;;101;Litros;0;Hectareas;0;2,35;0;0;0;Total;32;0;EEI;EEI 1;4;6,31;2/1/2026;;2/1/2026;;0;0;0;3/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 120,10;;0;;0;64;11.215,00;Real;;;;;
El espejo;75.911;75911;Uva;Flame;2/1/2026;Envero/Cosecha;p-156;NUTRI 1075 M;;;;290;Litros;0;Hectareas;0;6,73;0;0;0;Total;34;0;EEI;EEI 1;9;6,73;2/1/2026;;2/1/2026;;0;0;0;3/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 345,10;;0;;0;34;13.222,00;Real;;;;;
El espejo;75.928;75928;Uva;Flame;2/1/2026;Envero/Cosecha;p-152;NUTRI 1683 M;;;;90;Litros;0;Hectareas;0;3;0;0;0;Total;32;0;EEI;EEI 2;3;6,31;2/1/2026;;2/1/2026;;0;0;0;3/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 107,10;;0;;0;62;7.811,00;Real;;;;;
El espejo;75.929;75929;Uva;Flame;2/1/2026;Envero/Cosecha;p-152;NUTRI 1683 M;;;;136;Litros;0;Hectareas;0;4,58;0;0;0;Total;31;0;EEI;EEI 2;5;4,58;2/1/2026;;2/1/2026;;0;0;0;3/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 161,80;;0;;0;32;5.831,00;Real;;;;;
El espejo;75.930;75930;Uva;Flame;2/1/2026;Envero/Cosecha;p-152;NUTRI 1683 M;;;;60;Litros;0;Hectareas;0;2,03;0;0;0;Total;32;0;EEI;EEI 2;6;2,03;2/1/2026;;2/1/2026;;0;0;0;3/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 71,40;;0;;0;32;2.579,00;Real;;;;;
El espejo;75.931;75931;Uva;Flame;2/1/2026;Envero/Cosecha;p-152;NUTRI 1683 M;;;;40;Litros;0;Hectareas;0;1,35;0;0;0;Total;17;0;EEI;EEI 2;11;4,07;2/1/2026;;2/1/2026;;0;0;0;3/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 47,60;;0;;0;62;2.748,00;Real;;;;;
El espejo;75.932;75932;Uva;Flame;2/1/2026;Envero/Cosecha;p-152;NUTRI 1683 M;;;;34;Litros;0;Hectareas;0;1,14;0;0;0;Total;32;0;EEI;EEI 2;12;2,29;2/1/2026;;2/1/2026;;0;0;0;3/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 40,40;;0;;0;62;2.849,00;Real;;;;;
El espejo;75.881;75881;Uva;Flame;1/1/2026;Envero/Cosecha;p-156;NUTRI 1075 M;;;;65;Litros;0;Hectareas;0;1,56;0;0;0;Total;32;0;EEI;EEI 1;1;3,13;1/1/2026;;1/1/2026;;0;0;0;2/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 77,30;;0;;0;63;5.689,00;Real;;;;;
El espejo;75.882;75882;Uva;Flame;1/1/2026;Envero/Cosecha;p-156;NUTRI 1075 M;;;;60;Litros;0;Hectareas;0;1,42;0;0;0;Total;32;0;EEI;EEI 1;2;2,85;1/1/2026;;1/1/2026;;0;0;0;2/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 71,40;;0;;0;63;5.183,00;Real;;;;;
El espejo;75.883;75883;Uva;Flame;1/1/2026;Envero/Cosecha;p-156;NUTRI 1075 M;;;;138;Litros;0;Hectareas;0;3,26;0;0;0;Total;32;0;EEI;EEI 1;7;6,01;1/1/2026;;1/1/2026;;0;0;0;2/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 164,20;;0;;0;63;10.613,00;Real;;;;;
El espejo;75.884;75884;Uva;Flame;1/1/2026;Envero/Cosecha;p-156;NUTRI 1075 M;;;;207;Litros;0;Hectareas;0;4,83;0;0;0;Total;33;0;EEI;EEI 1;8;4,83;1/1/2026;;1/1/2026;;0;0;0;2/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 246,30;;0;;0;33;9.004,00;Real;;;;;
El espejo;75.894;75894;Uva;Flame;31/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;68;Litros;0;Hectareas;0;1,57;0;0;0;Total;33;0;EEI;EEI 1;1;3,13;31/12/2025;;31/12/2025;;0;0;0;1/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 80,90;;0;;0;65;5.828,00;Real;;;;;
El espejo;75.895;75895;Uva;Flame;31/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;61;Litros;0;Hectareas;0;1,42;0;0;0;Total;33;0;EEI;EEI 1;2;2,85;31/12/2025;;31/12/2025;;0;0;0;1/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 72,50;;0;;0;65;5.306,00;Real;;;;;
El espejo;75.896;75896;Uva;Flame;31/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;101;Litros;0;Hectareas;0;2,35;0;0;0;Total;31;0;EEI;EEI 1;4;6,31;31/12/2025;;31/12/2025;;0;0;0;1/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 120,10;;0;;0;63;11.114,00;Real;;;;;
El espejo;75.897;75897;Uva;Flame;31/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;290;Litros;0;Hectareas;0;6,73;0;0;0;Total;33;0;EEI;EEI 1;9;6,73;31/12/2025;;31/12/2025;;0;0;0;1/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 345,10;;0;;0;33;12.932,00;Real;;;;;
El espejo;75.917;75917;Uva;Flame;31/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;90;Litros;0;Hectareas;0;3;0;0;0;Total;31;0;EEI;EEI 2;3;6,31;31/12/2025;;31/12/2025;;0;0;0;1/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 107,10;;0;;0;61;7.721,00;Real;;;;;
El espejo;75.918;75918;Uva;Flame;31/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;136;Litros;0;Hectareas;0;4,58;0;0;0;Total;30;0;EEI;EEI 2;5;4,58;31/12/2025;;31/12/2025;;0;0;0;1/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 161,80;;0;;0;31;5.695,00;Real;;;;;
El espejo;75.919;75919;Uva;Flame;31/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;60;Litros;0;Hectareas;0;2,03;0;0;0;Total;31;0;EEI;EEI 2;6;2,03;31/12/2025;;31/12/2025;;0;0;0;1/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 71,40;;0;;0;31;2.519,00;Real;;;;;
El espejo;75.920;75920;Uva;Flame;31/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;40;Litros;0;Hectareas;0;1,35;0;0;0;Total;17;0;EEI;EEI 2;11;4,07;31/12/2025;;31/12/2025;;0;0;0;1/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 47,60;;0;;0;61;2.708,00;Real;;;;;
El espejo;75.921;75921;Uva;Flame;31/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;34;Litros;0;Hectareas;0;1,14;0;0;0;Total;32;0;EEI;EEI 2;12;2,29;31/12/2025;;31/12/2025;;0;0;0;1/1/2026;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 40,40;;0;;0;61;2.815,00;Real;;;;;
El espejo;75.876;75876;Uva;Flame;30/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;65;Litros;0;Hectareas;0;1,56;0;0;0;Total;31;0;EEI;EEI 1;1;3,13;30/12/2025;;30/12/2025;;0;0;0;31/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 77,30;;0;;0;62;5.624,00;Real;;;;;
El espejo;75.878;75878;Uva;Flame;30/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;60;Litros;0;Hectareas;0;1,42;0;0;0;Total;31;0;EEI;EEI 1;2;2,85;30/12/2025;;30/12/2025;;0;0;0;31/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 71,40;;0;;0;62;5.123,00;Real;;;;;
El espejo;75.879;75879;Uva;Flame;30/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;138;Litros;0;Hectareas;0;3,26;0;0;0;Total;31;0;EEI;EEI 1;7;6,01;30/12/2025;;30/12/2025;;0;0;0;31/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 164,20;;0;;0;62;10.475,00;Real;;;;;
El espejo;75.880;75880;Uva;Flame;30/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;207;Litros;0;Hectareas;0;4,83;0;0;0;Total;32;0;EEI;EEI 1;8;4,83;30/12/2025;;30/12/2025;;0;0;0;31/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 246,30;;0;;0;32;8.797,00;Real;;;;;
El espejo;75.889;75889;Uva;Flame;29/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;68;Litros;0;Hectareas;0;1,57;0;0;0;Total;32;0;EEI;EEI 1;1;3,13;29/12/2025;;29/12/2025;;0;0;0;30/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 80,90;;0;;0;63;5.695,00;Real;;;;;
El espejo;75.890;75890;Uva;Flame;29/12/2025;Cosecha/Postcosecha;p-156;NUTRI 1075 M;;;;61;Litros;0;Hectareas;0;1,42;0;0;0;Total;32;0;EEI;EEI 1;2;2,85;29/12/2025;;29/12/2025;;0;0;0;30/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 72,50;;0;;0;63;5.185,00;Real;;;;;
El espejo;75.891;75891;Uva;Flame;29/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;101;Litros;0;Hectareas;0;2,35;0;0;0;Total;31;0;EEI;EEI 1;4;6,31;29/12/2025;;29/12/2025;;0;0;0;30/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 120,10;;0;;0;62;11.013,00;Real;;;;;
El espejo;75.892;75892;Uva;Flame;29/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;290;Litros;0;Hectareas;0;6,73;0;0;0;Total;32;0;EEI;EEI 1;9;6,73;29/12/2025;;29/12/2025;;0;0;0;30/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 345,10;;0;;0;32;12.642,00;Real;;;;;
El espejo;75.912;75912;Uva;Flame;29/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;90;Litros;0;Hectareas;0;3;0;0;0;Total;31;0;EEI;EEI 2;3;6,31;29/12/2025;;29/12/2025;;0;0;0;30/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 107,10;;0;;0;60;7.631,00;Real;;;;;
El espejo;75.913;75913;Uva;Flame;29/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;136;Litros;0;Hectareas;0;4,58;0;0;0;Total;29;0;EEI;EEI 2;5;4,58;29/12/2025;;29/12/2025;;0;0;0;30/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 161,80;;0;;0;30;5.559,00;Real;;;;;
El espejo;75.914;75914;Uva;Flame;29/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;60;Litros;0;Hectareas;0;2,03;0;0;0;Total;30;0;EEI;EEI 2;6;2,03;29/12/2025;;29/12/2025;;0;0;0;30/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 71,40;;0;;0;30;2.459,00;Real;;;;;
El espejo;75.915;75915;Uva;Flame;29/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;40;Litros;0;Hectareas;0;1,35;0;0;0;Total;16;0;EEI;EEI 2;11;4,07;29/12/2025;;29/12/2025;;0;0;0;30/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 47,60;;0;;0;60;2.668,00;Real;;;;;
El espejo;75.916;75916;Uva;Flame;29/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;34;Litros;0;Hectareas;0;1,14;0;0;0;Total;31;0;EEI;EEI 2;12;2,29;29/12/2025;;29/12/2025;;0;0;0;30/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 40,40;;0;;0;60;2.781,00;Real;;;;;
El espejo;75.858;75858;Uva;Flame;28/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;65;Litros;0;Hectareas;0;1,56;0;0;0;Total;31;0;EEI;EEI 1;1;3,13;28/12/2025;;28/12/2025;;0;0;0;29/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 77,30;;0;;0;61;5.559,00;Real;;;;;
El espejo;75.859;75859;Uva;Flame;28/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;60;Litros;0;Hectareas;0;1,42;0;0;0;Total;31;0;EEI;EEI 1;2;2,85;28/12/2025;;28/12/2025;;0;0;0;29/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 71,40;;0;;0;61;5.063,00;Real;;;;;
El espejo;75.860;75860;Uva;Flame;28/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;138;Litros;0;Hectareas;0;3,26;0;0;0;Total;31;0;EEI;EEI 1;7;6,01;28/12/2025;;28/12/2025;;0;0;0;29/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 164,20;;0;;0;61;10.337,00;Real;;;;;
El espejo;75.861;75861;Uva;Flame;28/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;207;Litros;0;Hectareas;0;4,83;0;0;0;Total;31;0;EEI;EEI 1;8;4,83;28/12/2025;;28/12/2025;;0;0;0;29/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 246,30;;0;;0;31;8.590,00;Real;;;;;
El espejo;75.885;75885;Uva;Flame;28/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;68;Litros;0;Hectareas;0;1,57;0;0;0;Total;31;0;EEI;EEI 1;1;3,13;28/12/2025;;28/12/2025;;0;0;0;29/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 80,90;;0;;0;62;5.627,00;Real;;;;;
El espejo;75.886;75886;Uva;Flame;28/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;61;Litros;0;Hectareas;0;1,42;0;0;0;Total;31;0;EEI;EEI 1;2;2,85;28/12/2025;;28/12/2025;;0;0;0;29/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 72,50;;0;;0;62;5.124,00;Real;;;;;
El espejo;75.887;75887;Uva;Flame;28/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;101;Litros;0;Hectareas;0;2,35;0;0;0;Total;31;0;EEI;EEI 1;4;6,31;28/12/2025;;28/12/2025;;0;0;0;29/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 120,10;;0;;0;61;10.912,00;Real;;;;;
El espejo;75.888;75888;Uva;Flame;28/12/2025;Envero/Cosecha;p-156;NUTRI 1075 M;;;;290;Litros;0;Hectareas;0;6,73;0;0;0;Total;31;0;EEI;EEI 1;9;6,73;28/12/2025;;28/12/2025;;0;0;0;29/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 345,10;;0;;0;31;12.352,00;Real;;;;;
El espejo;73.986;1217;Uva;Fiesta;27/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;48,323;Litros;0;Hectareas;0;2,12;0;0;0;Total;43;0;EEII;EEII 2;18;2,12;27/12/2025;;27/12/2025;;0;0;0;28/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 58,00;;0;;0;43;2.888,90;Real;;;;;
El espejo;73.987;1217;Uva;Fiesta;27/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;106,677;Litros;0;Hectareas;0;4,68;0;0;0;Total;43;0;EEII;EEII 2;20;4,68;27/12/2025;;27/12/2025;;0;0;0;28/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 127,60;;0;;0;43;6.377,51;Real;;;;;
El espejo;75.800;75800;Uva;Flame;27/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;90;Litros;0;Hectareas;0;3;0;0;0;Total;28;0;EEI;EEI 2;3;6,31;27/12/2025;;27/12/2025;;0;0;0;28/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 107,10;;0;;0;55;7.153,00;Real;;;;;
El espejo;75.801;75801;Uva;Flame;27/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;136;Litros;0;Hectareas;0;4,58;0;0;0;Total;28;0;EEI;EEI 2;5;4,58;27/12/2025;;27/12/2025;;0;0;0;28/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 161,80;;0;;0;29;5.423,00;Real;;;;;
El espejo;75.802;75802;Uva;Flame;27/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;40;Litros;0;Hectareas;0;1,35;0;0;0;Total;15;0;EEI;EEI 2;11;4,07;27/12/2025;;27/12/2025;;0;0;0;28/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 47,60;;0;;0;55;2.528,00;Real;;;;;
El espejo;75.803;75803;Uva;Flame;27/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;34;Litros;0;Hectareas;0;1,14;0;0;0;Total;29;0;EEI;EEI 2;12;2,29;27/12/2025;;27/12/2025;;0;0;0;28/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 40,40;;0;;0;55;2.611,00;Real;;;;;
El espejo;75.804;75804;Uva;Flame;27/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;60;Litros;0;Hectareas;0;2,03;0;0;0;Total;29;0;EEI;EEI 2;6;2,03;27/12/2025;;27/12/2025;;0;0;0;28/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 71,40;;0;;0;29;2.399,00;Real;;;;;
El espejo;74.028;1223;Uva;Fiesta;27/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;36,18;Litros;0;Hectareas;0;2,28;0;0;0;Total;46;0;EEII;EEII 2;14;2,28;27/12/2025;;27/12/2025;;0;0;0;28/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 43,00;;0;;0;46;2.791,72;Real;;;;;
El espejo;74.029;1223;Uva;Fiesta;27/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;54,587;Litros;0;Hectareas;0;3,44;0;0;0;Total;44;0;EEII;EEII 2;15;3,44;27/12/2025;;27/12/2025;;0;0;0;28/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 65,00;;0;;0;44;3.757,44;Real;;;;;
El espejo;74.030;1223;Uva;Fiesta;27/12/2025;Envero/Cosecha;p-152;NUTRI 1683 M;;;;56,967;Litros;0;Hectareas;0;3,59;0;0;0;Total;44;0;EEII;EEII 2;19;3,59;27/12/2025;;27/12/2025;;0;0;0;28/12/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;tomas;$ 68,00;;0;;0;44;3.922,42;Real;;;;;
