Finca;Predio;Hectareas
El espejo;EEI;55,03
El espejo;EEII;94,11
El espejo;EEIII;99,05
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;66,9
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;40,3
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;26,77
